Lead No,Party Name,Lead Type,Entry Date,S.C.,S. E.,Current Stage,Current Status,Next Action,Inactive Days,Last Activity
Comp - 9,VERMA PROFILES CORPORATION,Golden,11-06-2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 100,PHOENIX PROFILES INDIA LTD.,Golden,11-06-2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 104,RADIANT POWER & STEEL HOLDINGS PVT. LTD.,Golden,11-06-2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 136,NATIONAL INFRASTRUCTURE GROUP INDIA LTD.,Not Ment.,11-06-2024,Not Assigned,Not Assigned,Inquiry Followups,active,"Followup Meeting, Inquiry Followups",0,To be calculated
Comp - 129,MALHOTRA STRIPS VENTURES INDUSTRIES,Golden,11-07-2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 13,TITAN SPONGE IRON CORPORATION,Golden,11-09-2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 133,ZENITH INDIA LTD.,Not Ment.,11-09-2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 134,OASIS STRUCTURES CORPORATION,Not Ment.,11-09-2024,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 132,BAJAJ STRIPS CORPORATION,Not Ment.,11-09-2024,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 109,TECHNO CASTINGS HOLDINGS LLP,Golden,11-09-2024,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 137,LUMINA PROFILES INDIA LTD.,Not Ment.,11-12-2024,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
